Country,Latitude,Longitude,Confirmed,Deaths,Recovered,GDP,GDP Per Capita,Population,Median Age,Hospital Bed Per 1000 Population Rate,Life Expectancy (years),Unemployment Rate (%),2017 Health Budget per Capita ($),Poverty (% of Pop),Literacy Rate (% of Pop),Gender (% of male)
Falkland Islands (Islas Malvinas),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,77.9,1.0,0.0,0.0,0.0,0.0
Faroe Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37.6,4.1,80.6,2.2,0.0,10.0,0.0,51.9231
Fiji,-17.7134,178.065,2.0,0.0,0.0,5671000000.0,6326.0992,896445,29.2,2.3,73.2,4.5,188.0,31.0,0.0,50.7389
Finland,61.9241,25.7482,626.0,1.0,10.0,289243000000.0,52203.1433,5540720,42.6,4.4,81.1,8.5,4206.0,0.0,0.0,49.2386
France,46.2276,2.2137,16044.0,674.0,2200.0,2876050000000.0,44061.5183,65273511,41.5,6.5,82.0,9.4,4380.0,14.2,0.0,48.9796
French Guiana,3.9339,-53.1258,18.0,0.0,6.0,5200000000.0,18300.0,290691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Polynesia,0.0,0.0,0.0,0.0,0.0,0.0,19287.2191,280908,32.4,0.0,77.5,21.8,0.0,19.7,0.0,51.2195
Gabon,-0.8037,11.6094,5.0,1.0,0.0,17893000000.0,8039.1457,2225734,20.5,6.3,68.0,28.0,204.0,34.3,83.2,51.9231
Gambia,0.0,0.0,1.0,0.0,0.0,1870000000.0,773.7927,2416667,21.3,1.1,65.4,0.0,23.0,48.4,55.5,49.4949
Gaza Strip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17.4,1.3,74.4,27.9,0.0,30.0,96.9,50.495
Georgia,42.3154,43.3569,54.0,0.0,3.0,18888000000.0,4734.8231,3989167,38.3,2.6,76.6,11.8,293.0,9.2,99.8,47.9167
Germany,51.1657,10.4515,24873.0,94.0,266.0,4157120000000.0,49617.145,83783942,47.4,8.3,80.9,3.8,5033.0,16.7,0.0,48.9796
Ghana,7.9465,-1.0232,24.0,1.0,0.0,72264000000.0,2325.6248,31072940,21.2,0.9,67.4,11.9,67.0,24.2,76.6,49.2386
Gibraltar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35.0,0.0,79.7,1.0,0.0,0.0,0.0,50.2488
Greece,39.0742,21.8243,624.0,15.0,19.0,230500000000.0,22114.4398,10423054,44.9,4.3,80.8,21.5,1517.0,36.0,97.7,48.7179
Greenland,72.0,-40.0,0.0,0.0,0.0,0.0,40213.6319,56770,34.0,8.2,72.9,9.1,0.0,16.2,100.0,52.1531
Grenada,12.1165,-61.679,1.0,0.0,0.0,1330000000.0,11819.8057,112523,32.1,3.7,74.8,24.0,497.0,38.0,98.6,50.7389
